folio;depto;area;s09a_01;s09a_01a;s09a_02;s09a_02a;s09a_03;s09a_03a;s09a_04;s09a_04a;s09a_05;s09a_05a;s09a_06;s09a_06a;s09a_07;s09a_07a;s09a_08;s09a_08a;s09a_09;s09a_09a;s09a_10;s09a_11;s09a_11a;s09a_12;s09a_12a;s09a_13;s09a_13a;s09a_14;s09a_14a;s09a_15;s09a_15a;s09a_16;s09a_16a;s09a_17;s09a_17a;upm;estrato;factor
111-00419608229-A-0261;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-00419608229-A;11;126,809251920269
111-00419608229-A-0291;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-00419608229-A;11;126,809251920269
111-00419608229-A-0311;Chuquisaca;Urbana;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-00419608229-A;11;126,809251920269
111-00419608229-A-0341;Chuquisaca;Urbana;2. No; ;2. No; ;1. Si;2. No;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;1. Si;2. No;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-00419608229-A;11;126,809251920269
111-04178102688-A-0011;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0041;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0061;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0091;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0111;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ; ; ; ; ; ; ; ; ; ; ; ; ; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0131;Chuquisaca;Urbana;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;1. Si;1. Si;2. No; ;2. No; ;2. No; ;1. Si;1. Si;1. Si;1. Si;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
111-04178102688-A-0161;Chuquisaca;Urbana;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;1. Si;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;2. No; ;111-04178102688-A;11;208,595891289014
